ubigeo;Region;Province;District;Area;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
10116;AMAZONAS;CHACHAPOYAS;OLLEROS;125.16;369;369.6395781;370.2983304;370.9823056;371.6977171;372.4509948;373.2488026;374.0980021;375.005539;375.9782348;377.0224688;378.1437477;379.3461694;380.6318003;382;383.7709679;386.2097167;389.2272093;392.7321327;396.6329647;400.839483;405.2636768;409.8201073;414.4258262;419;423.4634179
10117;AMAZONAS;CHACHAPOYAS;QUINJALCA;91.59;1208;1199.887573;1190.369264;1179.582272;1167.664681;1154.754351;1140.987823;1126.499184;1111.418856;1095.872267;1079.97842;1063.848363;1047.583642;1031.274792;1015;998.4982724;981.4714671;963.92391;945.8579213;927.2824701;908.2186408;888.7021029;868.7831106;848.5247267;828;807.2887671
10118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;47.41;283;289.1727906;295.073261;300.6678122;305.9229209;310.805455;315.2829766;319.3240088;322.8982398;325.9766426;328.5314958;330.5363035;331.965627;332.794861;333;332.911119;332.814253;332.6163617;332.2229556;331.5414368;330.4838675;328.969095;326.9242607;324.28579;321;317.0234783
10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;101.67;762;763.0715055;763.6974222;763.9108119;763.7457212;763.2370979;762.4206474;761.3325878;760.009263;758.4865822;756.7992689;754.9799215;753.0579135;751.0581849;749;745.1020006;737.8552525;727.6985505;715.0852763;700.4752556;684.3264947;667.0869655;649.1869214;631.0323359;613;595.4346616
10120;AMAZONAS;CHACHAPOYAS;SOLOCO;84.48;1731;1726.717281;1720.173932;1711.570113;1701.110856;1689.004085;1675.458675;1660.682467;1644.880183;1628.251197;1610.987138;1593.269372;1575.266423;1557.131461;1539;1520.244898;1500.201003;1478.919268;1456.446355;1432.837605;1408.165352;1382.522754;1356.023854;1328.800899;1301;1272.776197
10121;AMAZONAS;CHACHAPOYAS;SONCHE;113.26;261;258.7159481;256.6959101;254.9208796;253.3730214;252.0355581;250.8926456;249.9292262;249.1308414;248.4833951;247.9728567;247.5849038;247.3045084;247.1154815;247;247.2356671;248.0663127;249.4219058;251.2331263;253.4321119;255.9528956;258.7315216;261.7058726;264.8152792;268;271.2006831
10201;AMAZONAS;BAGUA;BAGUA;131.4841981;22762.15528;23000.94865;23234.8407;23464.6101;23691.08341;23915.13691;24137.69676;24359.73569;24582.26497;24806.31997;25032.93831;25263.13008;25497.84027;25737.90449;25984;26241.2076;26512.56149;26795.17181;27085.88612;27381.51066;27678.98346;27975.49339;28268.547;28555.99071;28836;29107.04876
10202;AMAZONAS;BAGUA;ARAMANGO;809.6694681;13368;13381.27921;13376.26252;13354.41038;13317.2453;13266.33568;13203.27962;13129.6884;13047.16898;12957.30515;12861.6373;12761.64093;12658.7045;12554.10749;12449;12331.2589;12189.68094;12026.61046;11844.36766;11645.32305;11431.9373;11206.7674;10972.44534;10731.63827;10487;10241.12277
10203;AMAZONAS;BAGUA;COPALLIN;97.81867002;6570;6612.636367;6648.122965;6677.000295;6699.843398;6717.256878;6729.869712;6738.329526;6743.296006;6745.433192;6745.400501;6743.842508;6741.377701;6738.58662;6736;6704.369647;6618.944012;6487.620809;6318.835494;6121.162044;5902.970979;5672.154647;5435.925975;5200.692175;4972;4754.545046
10204;AMAZONAS;BAGUA;EL PARCO;17.96075794;1064;1100.190518;1135.333842;1169.16098;1201.395077;1231.754455;1259.955911;1285.718136;1308.76513;1328.829452;1345.655216;1359.000746;1368.640915;1374.369255;1376;1375.445518;1374.411266;1372.405456;1368.93358;1363.514859;1355.696853;1345.067764;1331.266388;1313.989919;1293;1268.127473
